state,corp_type,emp_size,score,confidence,establishments,employees,avg_salary_thousands
Arizona,c-corp,5-9,47.6,high,6907,47006,60.29504744075224
Arizona,c-corp,50-99,43.9,high,2038,141709,58.3919722812242
Arizona,c-corp,500-999,52.2,medium,185,126053,74.55930441956954
Arizona,c-corp,1-4,52.1,high,13949,24205,91.36624664325552
Arizona,government,1000+,47.2,low,8,16795,84.56183387913069
Arizona,government,100-249,25.6,low,3,575,35.791304347826085
Arizona,government,20-49,35.5,low,3,90,57.077777777777776
Arizona,government,250-499,38.4,low,8,2958,47.42765382014875
Arizona,government,5-9,31.2,low,3,20,25.55
Arizona,government,500-999,51.8,low,7,5239,67.01049818667684
Arizona,sole-proprietor,1000+,31.4,low,5,21280,44.46578947368421
Arizona,sole-proprietor,10-19,46.7,medium,924,12416,34.50523518041237
Arizona,sole-proprietor,100-249,47.6,medium,104,15295,55.265446224256294
Arizona,sole-proprietor,20-49,50.6,medium,567,16815,39.658994944989594
Arizona,sole-proprietor,250-499,47.3,low,23,8456,59.04056291390729
Arizona,sole-proprietor,5-9,42.4,high,1733,11308,31.581535196321187
Arizona,sole-proprietor,50-99,47.6,medium,180,12412,40.12101192394457
Arizona,sole-proprietor,500-999,37.4,low,10,6902,46.95015937409447
Arizona,sole-proprietor,1-4,42.9,high,8721,13035,42.309167625623324
Arizona,nonprofit,1000+,49.1,low,35,90347,68.49370759405403
Arizona,nonprofit,10-19,43.6,high,1180,16013,47.698432523574596
Arizona,nonprofit,100-249,42,medium,227,34232,50.161252629118955
Arizona,nonprofit,20-49,43.4,medium,941,29146,47.8887668976875
Arizona,nonprofit,250-499,45.5,low,66,22396,56.45258081800321
Arizona,nonprofit,5-9,43,high,1616,10760,43.28838289962825
Arizona,nonprofit,50-99,40.7,medium,454,30093,43.740737048483034
Arizona,nonprofit,500-999,45.4,low,21,13927,63.94104975946004
Arizona,nonprofit,1-4,42,high,3502,6692,47.785714285714285
Arizona,other,10-19,52.7,low,43,591,98.37901861252115
Arizona,other,100-249,41.7,low,8,932,44.927038626609445
Arizona,other,20-49,42.1,low,55,1661,44.62191450933173
Arizona,other,250-499,39.9,low,6,2290,55.212227074235805
Arizona,other,5-9,46.9,low,53,341,63.407624633431084
Arizona,other,50-99,50.4,low,15,980,46.210204081632654
Arizona,other,1-4,35,low,77,136,77.43382352941177
Arizona,partnership,1000+,39.8,low,15,36320,44.11222466960353
Arizona,partnership,10-19,44.1,high,3232,44393,42.71608136417904
Arizona,partnership,100-249,46.5,medium,428,64105,58.02293112861711
Arizona,partnership,20-49,43.3,high,2823,85007,41.67185055348383
Arizona,partnership,250-499,45.2,low,69,22517,57.869964915397254
Arizona,partnership,5-9,43.8,high,3959,26515,44.02379785027343
Arizona,partnership,50-99,46.6,medium,939,64318,46.680291675736186
Arizona,partnership,500-999,45.8,low,34,22862,63.69429621205494
Arizona,partnership,1-4,40.1,high,10665,17551,67.01680815907926
Arizona,s-corp,1000+,41.1,low,15,31164,46.155082787832114
Arizona,s-corp,10-19,44.8,high,8294,111917,47.01290241875676
Arizona,s-corp,100-249,49.2,medium,669,96917,52.171105172467165
Arizona,s-corp,20-49,43.5,high,5332,158779,45.80904905560559
Arizona,s-corp,250-499,54,medium,137,46510,58.36409374328102
Arizona,s-corp,5-9,46.5,high,12462,82772,47.5196926496883
Arizona,s-corp,50-99,47.8,high,1493,101942,48.66827215475467
Arizona,s-corp,500-999,44.5,low,36,23124,48.092847258259816
Arizona,s-corp,1-4,42.7,high,52098,74638,62.995672445671104
Arkansas,c-corp,1000+,37.8,low,44,71182,51.576283330055354
Arkansas,c-corp,10-19,50.7,high,2932,39665,62.728249086096056
Arkansas,c-corp,100-249,42.9,medium,546,83171,58.329369612004186
Arkansas,c-corp,20-49,49.6,high,2060,61971,64.02384986525956
Arkansas,c-corp,250-499,41.3,medium,192,66633,57.62791709813456
Arkansas,c-corp,5-9,50.8,high,3998,26594,62.751485297435515
Arkansas,c-corp,50-99,44.7,medium,717,48688,62.8891307919816
Arkansas,c-corp,500-999,45.9,low,63,43490,66.5162566107151
Arkansas,c-corp,1-4,48.4,high,5792,11314,84.40295209474986
Arkansas,government,250-499,31,low,3,822,51.4647201946472
Arkansas,sole-proprietor,10-19,36.8,medium,361,4881,29.52079491907396
Arkansas,sole-proprietor,100-249,38.5,low,14,2072,46.847007722007724
Arkansas,sole-proprietor,20-49,39.5,medium,226,6392,33.2726846057572
Arkansas,sole-proprietor,250-499,38.6,low,6,2131,57.914594087282964
Arkansas,sole-proprietor,5-9,36.1,medium,842,5422,28.393212836591662
Arkansas,sole-proprietor,50-99,45.7,low,59,4039,42.319138400594206
Arkansas,sole-proprietor,1-4,33,high,4189,6753,31.410188064563897
Arkansas,nonprofit,1000+,42,low,17,30939,61.373606128187724
Arkansas,nonprofit,10-19,40.3,medium,778,10384,46.73208782742681
Arkansas,nonprofit,100-249,39.5,medium,119,18206,48.25524552345381
Arkansas,nonprofit,20-49,38.9,medium,634,19075,45.225688073394494
Arkansas,nonprofit,250-499,35.5,low,38,13423,43.191089920286075
Arkansas,nonprofit,5-9,36.9,high,1306,8579,37.49854295372421
Arkansas,nonprofit,50-99,39.6,medium,219,14962,45.18533618500201
Arkansas,nonprofit,500-999,50.6,low,6,3995,85.3261576971214
Arkansas,nonprofit,1-4,35.9,high,3421,6801,34.06013821496839
Arkansas,other,10-19,36.3,low,57,742,42.71563342318059
Arkansas,other,100-249,49.6,low,5,694,74.60086455331412
Arkansas,other,20-49,37,low,21,627,40.75598086124402
Arkansas,other,250-499,29.2,low,4,1273,34.586802827965435
Arkansas,other,5-9,35.8,low,58,363,39.42424242424242
Arkansas,other,50-99,49.6,low,7,474,58.90084388185654
Arkansas,other,1-4,39.5,low,60,126,64.11904761904762
Arkansas,partnership,1000+,49.6,low,7,13452,88.1383437407077
Arkansas,partnership,10-19,33.7,high,1243,17103,37.21446529848565
Arkansas,partnership,100-249,36,medium,149,21378,44.55196931424829
Arkansas,partnership,20-49,32.7,high,1066,31919,34.209655690967764
Arkansas,partnership,250-499,44.5,low,28,10087,52.31337364925151
Arkansas,partnership,5-9,33.8,high,1587,10561,38.23094403939021
Arkansas,partnership,50-99,39,medium,356,24361,41.92126759985222
Arkansas,partnership,500-999,32.6,low,11,7496,41.12913553895411
Arkansas,partnership,1-4,31.6,high,4454,7617,60.71445450964947
Arkansas,s-corp,1000+,33.6,low,8,22138,30.966844340048784
Arkansas,s-corp,10-19,35.5,high,3806,51472,40.83134519738887
Arkansas,s-corp,100-249,39.4,medium,199,28663,46.477305236716326
Arkansas,s-corp,20-49,34.9,high,2511,74718,40.406193955941006
Arkansas,s-corp,250-499,43.8,low,32,11225,51.94334075723831
Arkansas,s-corp,5-9,35.9,high,5764,38352,41.66098247809762
Arkansas,s-corp,50-99,39.5,medium,650,44490,44.465003371544164
Arkansas,s-corp,500-999,45.2,low,16,9474,55.17880515093941
Arkansas,s-corp,1-4,31.1,high,18942,30356,50.49548688891817
California,c-corp,1000+,81.7,medium,638,1858325,165.81386140745025
California,c-corp,10-19,63,high,39247,537321,67.8850556743548
California,c-corp,100-249,71.7,high,7980,1215218,91.68892988747697
California,c-corp,20-49,63.8,high,32850,987509,70.26116622734578
California,c-corp,250-499,83.9,high,2503,858734,118.38208688604388
California,c-corp,5-9,62.6,high,46255,308544,70.72453847749429
California,c-corp,50-99,63.4,high,12249,857614,79.09459966838227
California,c-corp,500-999,82,medium,914,618940,137.10922544996285
California,c-corp,1-4,63.2,high,120007,199069,102.28564969935047
California,government,1000+,76.4,low,58,178433,110.8423329765234
California,government,100-249,54.9,low,30,4802,54.691170345689294
California,government,20-49,60.8,low,8,275,155.57090909090908
California,government,250-499,57.4,low,19,7196,65.21178432462479
California,government,5-9,55.7,low,4,24,74.125
California,government,50-99,31.4,low,5,419,42.01670644391408
California,government,500-999,59.5,low,13,9460,69.26828752642706
California,government,1-4,53.2,low,4,8,74.875
California,sole-proprietor,1000+,44,low,17,39707,44.117284106077015
California,sole-proprietor,10-19,57.4,high,6778,88175,37.350235327473776
California,sole-proprietor,100-249,61,medium,391,58072,66.21419961427193
California,sole-proprietor,20-49,61.4,high,2306,65834,47.760731536895825
California,sole-proprietor,250-499,63.2,low,76,26372,84.52438192021842
California,sole-proprietor,5-9,55.9,high,18003,115259,33.28045532236094
California,sole-proprietor,50-99,63.2,medium,612,43372,54.91835746564604
California,sole-proprietor,500-999,77.7,low,27,18388,118.34527953012835
California,sole-proprietor,1-4,49.1,high,93654,153588,36.17582102768446
California,nonprofit,1000+,67.6,medium,200,496453,87.3564929610658
California,nonprofit,10-19,57.4,high,8320,112917,48.76030181460719
California,nonprofit,100-249,60.6,high,1459,217783,62.58371406399949
California,nonprofit,20-49,59.1,high,6540,197984,53.748747373525134
California,nonprofit,250-499,61.8,medium,391,132847,67.11800040648265
California,nonprofit,5-9,57,high,10262,68263,47.49531957282862
California,nonprofit,50-99,60.9,high,2475,170375,60.95851504035216
California,nonprofit,500-999,61.3,medium,167,112645,69.90963646855164
California,nonprofit,1-4,52.4,high,24629,44979,53.14653504968985
California,other,1000+,61.8,low,5,11083,105.59261932689705
California,other,10-19,59.5,medium,175,2370,75.60084388185653
California,other,100-249,58,low,47,7070,62.28486562942008
California,other,20-49,54.3,medium,204,6190,61.78449111470113
California,other,250-499,52.7,low,7,2689,79.53588694682038
California,other,5-9,54.8,medium,196,1307,65.80413159908187
California,other,50-99,63.7,low,98,6905,55.11469949312092
California,other,500-999,50.9,low,6,4148,65.11764705882354
California,other,1-4,40.6,medium,549,935,82.30267379679144
California,partnership,1000+,57.8,low,84,209030,67.94531406975075
California,partnership,10-19,61.6,high,13426,183595,53.36679103461423
California,partnership,100-249,60.8,high,1743,256282,77.08651797629174
California,partnership,20-49,63.2,high,11478,347792,57.1697106316419
California,partnership,250-499,67.7,medium,422,144582,96.04378830006502
California,partnership,5-9,61.3,high,15932,106021,54.745729619603665
California,partnership,50-99,69.7,high,3784,257903,71.2805473375649
California,partnership,500-999,64.7,medium,152,105281,94.80014437552835
California,partnership,1-4,52.1,high,46409,78926,71.32412639687809
California,s-corp,1000+,67.1,medium,116,334348,66.57226901312406
California,s-corp,10-19,58,high,53462,718303,50.48543720407683
California,s-corp,100-249,68,high,3603,525196,63.01855307351922
California,s-corp,20-49,59.6,high,32150,950022,52.206456271538975
California,s-corp,250-499,68.7,medium,708,236172,66.11426841454534
California,s-corp,5-9,58.9,high,80149,530639,52.210540499284825
California,s-corp,50-99,65.3,high,8735,594644,57.600714040669715
California,s-corp,500-999,61.7,medium,222,150751,59.89859437084994
California,s-corp,1-4,55.3,high,310226,455318,79.20167443413175
Colorado,c-corp,1000+,51.5,low,82,171556,82.00326424024809
Colorado,c-corp,10-19,52.4,high,5994,82528,65.68550067855757
Colorado,c-corp,100-249,60.9,high,1347,206009,82.02397468071783
Colorado,c-corp,20-49,52.1,high,5020,151627,65.49669913669729
Colorado,c-corp,250-499,68.4,medium,391,134305,95.54510256505715
Colorado,c-corp,5-9,53.4,high,6922,46551,69.83981010074972
Colorado,c-corp,50-99,56.1,high,1873,129415,76.48494378549627
Colorado,c-corp,500-999,66.5,medium,148,100663,107.8523985972999
Colorado,c-corp,1-4,56.6,high,14551,25474,96.49850828295517
Colorado,government,1000+,49.5,low,8,24380,86.56751435602953
Colorado,government,100-249,55.8,low,17,2669,68.95653802922443
Colorado,government,250-499,48.3,low,5,1708,70.74941451990632
Colorado,government,500-999,56.9,low,10,6084,69.40811965811966
Colorado,sole-proprietor,1000+,39.2,low,4,6532,69.31047152480097
Colorado,sole-proprietor,10-19,51.9,medium,741,9943,38.448154480539074
Colorado,sole-proprietor,100-249,50.2,low,74,10633,60.940468353239915
Colorado,sole-proprietor,20-49,53.5,medium,484,13945,43.78013624955181
Colorado,sole-proprietor,250-499,48.5,low,23,7584,62.563818565400844
Colorado,sole-proprietor,5-9,46.2,high,1462,9475,36.21994722955145
Colorado,sole-proprietor,50-99,51.5,medium,145,10098,49.65329768270945
Colorado,sole-proprietor,500-999,50.5,low,6,3786,88.98124669836238
Colorado,sole-proprietor,1-4,44.6,high,8009,11308,46.04368588609834
Colorado,nonprofit,1000+,51.3,low,30,62206,74.81257434974118
Colorado,nonprofit,10-19,45.2,high,1407,18956,46.15609833298164
Colorado,nonprofit,100-249,48.6,medium,243,35736,55.67539735840609
Colorado,nonprofit,20-49,45.2,high,1088,33262,48.01545306956888
Colorado,nonprofit,250-499,52.7,low,58,20244,65.98592175459396
Colorado,nonprofit,5-9,44.5,high,2038,13514,43.01250554980021
Colorado,nonprofit,50-99,47.4,medium,449,29770,52.44810211622438
Colorado,nonprofit,500-999,52,low,22,14680,72.6466621253406
Colorado,nonprofit,1-4,42.9,high,5196,9776,47.51319558101473
Colorado,other,10-19,49.6,low,60,799,78.91113892365456
Colorado,other,100-249,47,low,12,1870,48.87700534759358
Colorado,other,20-49,50,low,67,1742,74.5419058553387
Colorado,other,250-499,44,low,9,2939,37.94113644096632
Colorado,other,5-9,57.1,low,50,337,97.0979228486647
Colorado,other,50-99,55.3,low,21,1352,58.321745562130175
Colorado,other,1-4,45,medium,140,286,120.5979020979021
Colorado,partnership,1000+,51.5,low,19,34763,74.50128009665448
Colorado,partnership,10-19,48.9,high,3229,44584,46.87607661941504
Colorado,partnership,100-249,52.6,medium,322,47755,72.21076327086169
Colorado,partnership,20-49,49.4,high,2534,76122,48.56895509839468
Colorado,partnership,250-499,57.4,low,72,25811,91.36100887218628
Colorado,partnership,5-9,51.3,high,3760,25085,53.30942794498704
Colorado,partnership,50-99,56.8,medium,714,48732,60.621255027497334
Colorado,partnership,500-999,51.3,low,22,14728,87.40983161325367
Colorado,partnership,1-4,45.5,high,10213,16982,77.24555411612296
Colorado,s-corp,1000+,44.9,low,12,22070,58.266560942455826
Colorado,s-corp,10-19,49.3,high,9391,125362,50.11765128188765
Colorado,s-corp,100-249,58.6,medium,551,79617,61.7641081678536
Colorado,s-corp,20-49,49.8,high,5597,165937,51.5900010244852
Colorado,s-corp,250-499,63,low,74,24878,66.30026529463784
Colorado,s-corp,5-9,50.6,high,14749,97476,51.17618695884115
Colorado,s-corp,50-99,55.5,high,1387,93838,55.51059272363008
Colorado,s-corp,500-999,50.8,low,35,22793,57.05286710832273
Colorado,s-corp,1-4,43.5,high,71072,99831,62.53219941701475
Connecticut,c-corp,1000+,68.5,low,56,127120,125.42647891755821
Connecticut,c-corp,10-19,54.7,high,3597,49010,72.00326463986941
Connecticut,c-corp,100-249,58.2,medium,810,125159,80.61562492509528
Connecticut,c-corp,20-49,55,high,3048,90619,74.51251944956356
Connecticut,c-corp,250-499,61.9,medium,203,69102,86.55535295649909
Connecticut,c-corp,5-9,52.7,high,4911,32828,70.88540270500792
Connecticut,c-corp,50-99,62,high,1114,76731,89.02457937469862
Connecticut,c-corp,500-999,62.7,low,66,45437,104.77839646103396
Connecticut,c-corp,1-4,57.6,high,10057,18581,100.21349765889887
Connecticut,government,1000+,40,low,5,12925,71.65918762088975
Connecticut,sole-proprietor,10-19,52.2,medium,971,12674,37.95818210509705
Connecticut,sole-proprietor,100-249,79,low,31,4653,123.44379969911884
Connecticut,sole-proprietor,20-49,54,medium,438,12556,46.186922586811086
Connecticut,sole-proprietor,250-499,58,low,9,3196,99.84105131414267
Connecticut,sole-proprietor,5-9,47.3,high,2135,13707,36.53060480046692
Connecticut,sole-proprietor,50-99,54.6,low,83,5453,52.84357234549789
Connecticut,sole-proprietor,500-999,52.7,low,3,1779,100.99156829679595
Connecticut,sole-proprietor,1-4,45.2,high,10287,16482,43.13687659264652
Connecticut,nonprofit,1000+,49.8,low,31,97030,68.43193857569824
Connecticut,nonprofit,10-19,45.7,high,1395,18609,49.13719168144446
Connecticut,nonprofit,100-249,49.9,medium,233,35781,59.57158827310584
Connecticut,nonprofit,20-49,48.6,medium,985,29635,54.97894381643327
Connecticut,nonprofit,250-499,49.6,low,62,20943,62.2128634866065
Connecticut,nonprofit,5-9,45.1,high,1714,11631,47.15914366778437
Connecticut,nonprofit,50-99,52.2,medium,329,22722,60.71996303142329
Connecticut,nonprofit,500-999,51.1,low,26,18567,68.54047503635482
Connecticut,nonprofit,1-4,41.8,high,3525,6661,48.90211679927939
Connecticut,other,10-19,68.9,low,16,256,164.56640625
Connecticut,other,100-249,54.4,low,5,775,79.82451612903226
Connecticut,other,20-49,72.4,low,10,258,259.62015503875966
Connecticut,other,5-9,67.6,low,18,119,114.6218487394958
Connecticut,other,50-99,42.4,low,13,766,40.84203655352481
Connecticut,other,1-4,33.3,low,47,84,56.17857142857143
Connecticut,partnership,1000+,68.6,low,4,5850,142.6945299145299
Connecticut,partnership,10-19,48.1,high,2378,32092,50.010906144833605
Connecticut,partnership,100-249,62.8,medium,243,36497,93.0626900841165
Connecticut,partnership,20-49,57.4,high,1618,48538,62.904858049363384
Connecticut,partnership,250-499,62.6,low,54,17389,97.87641612513659
Connecticut,partnership,5-9,47.3,high,3214,21372,47.87633352049411
Connecticut,partnership,50-99,61.3,medium,448,30650,65.48867862969004
Connecticut,partnership,500-999,42.2,low,14,8664,60.37246075715605
Connecticut,partnership,1-4,38,high,8845,15738,61.17073325708476
Connecticut,s-corp,10-19,50.9,high,3506,47323,58.29533207953849
Connecticut,s-corp,100-249,56.4,medium,387,56698,59.69912518960104
Connecticut,s-corp,20-49,52.2,high,2529,76506,57.8042114343973
Connecticut,s-corp,250-499,40.8,low,52,16431,47.83391150873349
Connecticut,s-corp,5-9,52,high,4950,32922,59.66891440374218
Connecticut,s-corp,50-99,57.8,medium,665,45599,60.91295861751354
Connecticut,s-corp,500-999,29.9,low,10,7103,40.26988596367732
Connecticut,s-corp,1-4,43.5,high,14137,23353,73.75347921037982
Delaware,c-corp,1000+,54.3,low,15,29656,103.34084165093067
Delaware,c-corp,10-19,48.2,high,1211,16571,69.72451873755355
Delaware,c-corp,100-249,52.1,medium,239,36504,75.15888669734824
Delaware,c-corp,20-49,48.3,medium,907,27238,71.91901020632939
Delaware,c-corp,250-499,53.1,low,62,22234,83.32328865701179
Delaware,c-corp,5-9,50.7,high,1551,10333,74.05264685957611
Delaware,c-corp,50-99,46,medium,353,24680,67.8333468395462
Delaware,c-corp,500-999,49.7,low,28,19084,85.95535527143157
Delaware,c-corp,1-4,59.8,high,5222,8122,122.31765574981532
Delaware,sole-proprietor,10-19,47.3,medium,146,1912,45.68619246861925
Delaware,sole-proprietor,100-249,41.7,low,9,1207,53.86246893123447
Delaware,sole-proprietor,20-49,48.3,medium,100,3008,46.412234042553195
Delaware,sole-proprietor,5-9,37.4,medium,275,1810,34.40276243093923
Delaware,sole-proprietor,50-99,47.8,low,35,2375,49.5418947368421
Delaware,sole-proprietor,1-4,38.5,high,2033,2763,46.172276511038724
Delaware,nonprofit,1000+,57.2,low,7,20626,98.27644720255988
Delaware,nonprofit,10-19,33.3,medium,292,4062,44.00049236829148
Delaware,nonprofit,100-249,32.1,low,61,9090,41.47062706270627
Delaware,nonprofit,20-49,34.3,medium,186,5565,45.185624438454624
Delaware,nonprofit,250-499,27,low,5,1589,45.79169288860919
Delaware,nonprofit,5-9,32,medium,405,2693,40.85369476420349
Delaware,nonprofit,50-99,33.4,low,69,5100,42.29333333333334
Delaware,nonprofit,500-999,43.1,low,4,3081,70.90360272638753
Delaware,nonprofit,1-4,35.2,medium,971,1790,47.758100558659216
Delaware,other,20-49,56.2,low,4,115,144.59130434782608
Delaware,other,5-9,30.2,low,10,76,42.13157894736842
Delaware,other,50-99,39.1,low,6,397,39.77329974811083
Delaware,other,1-4,37.6,low,15,32,82.28125
Delaware,partnership,10-19,39.7,medium,538,7479,49.83219681775638
Delaware,partnership,100-249,38.6,low,69,9735,55.74247560349255
Delaware,partnership,20-49,38.5,medium,400,12464,47.70097881899871
Delaware,partnership,250-499,45.5,low,9,2990,68.37023411371237
Delaware,partnership,5-9,38,medium,607,4062,50.075824716888235
Delaware,partnership,50-99,34.9,medium,137,9433,41.8302766882222
Delaware,partnership,500-999,64.8,low,6,4414,119.71952877208881
Delaware,partnership,1-4,53,high,2112,3282,118.90554539914686
Delaware,s-corp,10-19,39.6,high,1311,17789,50.31362077688459
Delaware,s-corp,100-249,44.1,medium,100,13956,53.03195758096876
Delaware,s-corp,20-49,35.3,medium,963,28796,46.8284483956105
Delaware,s-corp,250-499,30.9,low,5,2076,46.72880539499037
Delaware,s-corp,5-9,38.1,high,1927,12732,49.56000628338046
Delaware,s-corp,50-99,38.2,medium,249,16639,47.429112326461926
Delaware,s-corp,1-4,32.7,high,6532,10296,61.922494172494176
District of Columbia,c-corp,1000+,62.5,low,5,11869,144.3840256129413
District of Columbia,c-corp,10-19,67.8,high,1033,14053,99.53860385682772
District of Columbia,c-corp,100-249,72.4,medium,222,33329,114.06921899846981
District of Columbia,c-corp,20-49,68.9,medium,798,23993,102.07923144250407
